trait,effect,model,type,variables,est,se,lb,ub,mod.est,mod.se,mod.lb,mod.ub
neu,tr.cl,RICLPM,Observed,All,0.02352473049462184,0.02051145659593408,-0.01667698570386549,0.06372644669310917,0.01159101535384102,0.02091627646696211,-0.029404133212087395,0.05258616391976944
neu,tr.cl,RICLPM,Observed,Single,0.01633845706483785,0.020583291718158373,-0.024004053386034126,0.05668096751570983,0.004672499411724188,0.020985840001810353,-0.03645899117714408,0.04580399000059245
opn,rt.cl,CLPM,Latent,All,-0.010918226037431502,0.009717633897340356,-0.0299644384911642,0.008127986416301195,-0.019381148871055763,0.009304904917960528,-0.03761842738982803,-0.0011438703522835027
opn,rt.cl,CLPM,Latent,Single,0.008418709236661352,0.005335095246413983,-0.0020378853004008983,0.018875303773723602,-0.018070796810799636,0.005022116986582892,-0.02791396523064893,-0.008227628390950342
opn,rt.cl,CLPM,Observed,All,0.008947264977466604,0.005264825979877367,-0.0013716043279638334,0.019266134282897043,-0.013304316906029323,0.004987646518926259,-0.023079924450741363,-0.003528709361317283
opn,rt.cl,CLPM,Observed,Single,0.010867407609635102,0.005260081626987672,5.578370649984166e-4,0.02117697815427179,-0.012839610659160968,0.004982734479915367,-0.022605590784321006,-0.003073630534000933
opn,rt.cl,RICLPM,Latent,All,-0.007852595343326985,0.11635665042717482,-0.2359074395423067,0.2202022488556527,0.01920587157702962,0.11123689392145407,-0.19881443426112277,0.23722617741518204
opn,rt.cl,RICLPM,Latent,Single,0.07230185616779097,0.06808371414355487,-0.06113977148729685,0.2057434838228788,0.003390782620159785,0.06744976542860254,-0.12880832838557602,0.1355898936258956
opn,rt.cl,RICLPM,Observed,All,0.02956788832912985,0.01862204335379972,-0.006930645962861075,0.06606642262112078,0.005660735442826336,0.018956964847219055,-0.03149423291391485,0.04281570379956753
opn,rt.cl,RICLPM,Observed,Single,0.018825810937602487,0.01420224138827239,-0.009010070683155534,0.04666169255836051,0.0016487848094656995,0.014331115847518451,-0.026439686109941674,0.029737255728873074
opn,tr.cl,CLPM,Latent,All,-0.003142842010025178,0.0066986893287598525,-0.016272031838017276,0.009986347817966921,-0.016462547998309016,0.006354157281067691,-0.028916467421304642,-0.004008628575313391
opn,tr.cl,CLPM,Latent,Single,-0.0011323216819469693,0.006672113984251839,-0.014209424791826618,0.011944781427932679,-0.014366688562599032,0.006397018362647498,-0.026904614161829515,-0.001828762963368551
opn,tr.cl,CLPM,Observed,All,0.017623668583544555,0.005719335606325639,0.006413976779648752,0.02883336038744036,-0.016182947463682873,0.0054643465696707465,-0.026892869939282527,-0.005473024988083221
opn,tr.cl,CLPM,Observed,Single,0.016021128863677327,0.0056024897663993385,0.005040450697780403,0.02700180702957425,-0.016165667679697494,0.00534080843854756,-0.026633459867578313,-0.005697875491816676
opn,tr.cl,RICLPM,Latent,All,0.009552241659410519,0.04097888897469126,-0.07076490485744985,0.08986938817627088,-0.013272873799358938,0.039116542042135195,-0.08993988740169076,0.0633941398029729
opn,tr.cl,RICLPM,Latent,Single,0.02712279856029081,0.04158873417868134,-0.054389622592534596,0.10863521971311621,-0.011629066277544833,0.041137214617064426,-0.09225652535128577,0.06899839279619611
opn,tr.cl,RICLPM,Observed,All,0.024114885222385023,0.018629958278042046,-0.012399162036061229,0.060628932480831274,0.0012474015694397733,0.018962190592186078,-0.03591780905922917,0.03841261219810872
opn,tr.cl,RICLPM,Observed,Single,0.019464209326907768,0.01980816703768037,-0.01935908466669921,0.058287503320514744,0.004397461990921777,0.02018482021674873,-0.0351640586683217,0.04395898265016525
